name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Beef, pan-broiled, cooked, patty, 97% lean meat /3% fat, ground",100 g,144,1.8g,26.03 g,0.00 g,3.65 g,0.0 g,0.00 g,1.797 g,1.377 g,Protein,Red Meat
"Beef, pan-broiled, cooked, patty, 93% lean meat /7% fat, ground",100 g,182,3.3g,25.56 g,0.06 g,8.01 g,0.0 g,0.00 g,3.286 g,3.273 g,Protein,Red Meat
"Beef, raw, separable lean and fat, flank, imported, New Zealand",100 g,161,3.3g,20.12 g,0.00 g,8.90 g,0.0 g,0.00 g,3.292 g,2.888 g,Protein,Red Meat
"Seal, raw (Alaska Native), low quadrant, meat, bearded (Oogruk)",100 g,186,,23.63 g,0.00 g,10.17 g,0.0 g,0.00 g,0,0,Protein,Other
"Pork, unheated, separable lean only, bone-in, shank, ham, cured",100 g,125,1g,23.79 g,0.18 g,3.19 g,0.0 g,0.00 g,0.981 g,1.240 g,Protein,Red Meat
"Pork, unheated, separable lean only, bone-in, slice, ham, cured",100 g,130,1.1g,24.36 g,0.00 g,3.59 g,0.0 g,0.00 g,1.099 g,1.414 g,Protein,Red Meat
"Game meat, raw, 1"" steak, separable lean only, top round, bison",100 g,122,1g,23.32 g,0.00 g,2.43 g,0.0 g,0.00 g,1.039 g,0.950 g,Protein,Other
"Succotash, with salt, drained, boiled, cooked, (corn and limas)",100 g,111,0.1g,5.07 g,24.37 g,0.80 g,0,0,0.148 g,0.155 g,Carbs,Other
"Pigeon peas (red gram), with salt, boiled, cooked, mature seeds",100 g,121,0.1g,6.76 g,23.25 g,0.38 g,6.7 g,0,0.083 g,0.003 g,Carbs,Other
"Crustaceans, made from surimi, imitation, mixed species, shrimp",100 g,101,0.3g,12.39 g,9.13 g,1.47 g,0.0 g,0,0.290 g,0.220 g,Protein,Other
"Peas, with salt, drained, boiled, cooked, frozen, edible-podded",100 g,50,0.1g,3.50 g,8.43 g,0.38 g,3.1 g,4.82 g,0.073 g,0.039 g,Mixed,Vegetables (Vegan)
"Cereals, dry, blueberry hazelnut, REAL MEDLEYS, oatmeal, QUAKER",100 g,386,1.6g,9.81 g,69.47 g,9.80 g,7.7 g,18.71 g,1.648 g,3.742 g,Carbs,Nuts and Seeds (Vegan)
